num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1243	1628.136452	83.882447	11.929475	0.771682	5.266109
1245	1630.222633	83.777467	11.860339	0.770624	5.474647
1247	1632.307701	83.779876	11.803041	0.771655	5.117568
1251	1636.475994	83.570838	11.726975	0.777965	5.362884
1253	1638.560298	83.417043	11.628107	0.782137	5.313051
1257	1642.732201	83.066441	11.534477	0.782473	5.185628
1259	1644.817262	83.081109	11.437943	0.784092	5.473961
1261	1646.902730	83.008596	11.377669	0.786850	5.264455
1265	1651.071221	82.711272	11.281707	0.791470	5.200034
1267	1653.155772	82.577365	11.212208	0.792536	5.442430
1269	1655.240807	82.443021	11.163989	0.795011	5.030221
1273	1659.410557	82.200062	11.091049	0.798032	5.069184
1275	1661.496138	82.116370	11.020260	0.799870	5.191198
1277	1663.581734	81.994636	10.953408	0.801832	5.055987
1281	1667.751959	81.803925	10.897224	0.805993	5.066199
1283	1669.836044	81.752979	10.773393	0.806206	5.120671
1285	1671.919950	81.640042	10.754610	0.806455	4.936272
1289	1676.088346	81.375704	10.635477	0.807921	5.172308
1291	1678.174025	81.194702	10.575120	0.810505	5.135572
1293	1680.260497	81.096240	10.524612	0.814057	4.973381
1297	1684.430783	81.008989	10.425363	0.816120	4.923475
1299	1686.515216	80.787290	10.371858	0.818036	5.028911
1301	1688.599324	80.696776	10.288027	0.819648	5.133612
1305	1692.768250	80.464570	10.181916	0.822381	5.104901
1307	1694.852700	80.335711	10.128365	0.823904	4.989990
1309	1696.937575	80.230791	10.110738	0.824727	5.118186
1313	1701.107708	79.946663	9.974594	0.827570	4.924532
1315	1703.193134	79.858395	9.940125	0.827771	4.902765
1317	1705.278469	79.780468	9.863600	0.829186	5.211920
1321	1709.448742	79.672523	9.802604	0.831715	4.856929
1323	1711.532821	79.541184	9.747070	0.834204	4.806622
1325	1713.616546	79.392613	9.692283	0.835670	4.943673
1329	1717.784919	79.227112	9.604693	0.839275	4.763129
1331	1719.870113	78.994771	9.519811	0.841932	4.847619
1333	1721.955813	78.854987	9.469404	0.842648	5.024975
1337	1726.126773	78.713066	9.421250	0.842888	4.772627
1339	1728.212006	78.617391	9.347133	0.844848	4.886131
1341	1730.297069	78.488111	9.311882	0.846804	4.940378
1345	1734.466619	78.340666	9.172116	0.850205	4.761615
1347	1736.551372	78.226259	9.126742	0.851488	4.833593
1349	1738.636197	78.144094	9.101789	0.852433	4.860513
1353	1742.805131	77.879102	8.981376	0.855128	4.874318
1355	1744.889107	77.758748	8.924372	0.856218	4.891918
1357	1746.973430	77.668268	8.882944	0.856947	4.908415
1361	1751.141789	77.502072	8.794994	0.857931	4.644332
1363	1753.226379	77.380754	8.757675	0.858431	4.647954
1365	1755.311784	77.153215	8.699057	0.860213	4.688854
1369	1759.483409	76.947822	8.611233	0.864376	4.605421
1371	1761.568438	76.897040	8.572163	0.865591	4.508895
1373	1763.653575	76.810162	8.519525	0.866859	4.545581
1377	1767.823042	76.625947	8.433135	0.867765	4.636527
1379	1769.907731	76.491885	8.392135	0.868816	4.665339
1381	1771.992169	76.359440	8.355964	0.870026	4.587443
1385	1776.161380	76.213227	8.275187	0.870999	4.578771
1387	1778.246755	76.077096	8.204607	0.872098	4.641436
1389	1780.331461	75.990496	8.161389	0.873410	4.721461
1393	1784.500673	75.836634	8.082991	0.875832	4.425129
1395	1786.584959	75.661424	8.025683	0.877518	4.670247
1397	1788.668936	75.551805	7.983754	0.878549	4.442800
1401	1792.837024	75.395647	7.914641	0.880300	4.448737
1403	1794.921246	75.287849	7.866050	0.882116	4.722175
1405	1797.005860	75.115390	7.797928	0.884274	4.418569
1409	1801.176352	74.839275	7.728456	0.885377	4.596739
1411	1803.262004	74.719586	7.690491	0.885813	4.446164
1413	1805.346887	74.656743	7.642182	0.886433	4.345732
1417	1809.516677	74.469770	7.581752	0.888532	4.297213
1419	1811.601765	74.435943	7.551790	0.889127	4.340383
1421	1813.686297	74.275170	7.489152	0.890311	4.183667
1425	1817.855096	74.069972	7.408902	0.892362	4.385003
1427	1819.939448	73.953705	7.367553	0.893483	4.371818
1429	1822.023945	73.876753	7.318992	0.894261	4.469163
1433	1826.192224	73.715290	7.220928	0.895466	4.163751
1435	1828.276866	73.590269	7.182492	0.895851	4.172753
1437	1830.361744	73.428278	7.156542	0.896591	4.092684
1441	1834.532912	73.198277	7.081375	0.899398	4.183435
1443	1836.618121	73.136693	7.041425	0.900941	4.354912
1445	1838.703392	73.069585	6.987594	0.902076	4.474838
1449	1842.873051	72.912029	6.898264	0.903371	4.235017
1451	1844.957826	72.840732	6.887438	0.903101	4.116158
1453	1847.042405	72.694195	6.833027	0.904213	4.162174
1457	1851.211320	72.511445	6.755186	0.905476	4.166567
1459	1853.295961	72.403031	6.712932	0.906689	4.154357
1461	1855.380719	72.294677	6.673746	0.907825	4.230733
1465	1859.549733	72.104715	6.618547	0.908706	4.051907
1467	1861.633597	72.032762	6.574671	0.909568	4.119805
1469	1863.717932	71.850034	6.534376	0.910884	3.991721
1473	1867.885779	71.685389	6.442836	0.912383	4.045231
1475	1869.970092	71.625429	6.432344	0.912889	4.034295
1477	1872.054689	71.474705	6.364657	0.914487	4.044720
1481	1876.224791	71.221614	6.285304	0.916058	4.033731
1483	1878.309997	71.106544	6.255845	0.916798	3.971808
1485	1880.394860	71.002909	6.220763	0.917620	4.079554
1489	1884.564696	70.809923	6.149101	0.918297	3.917192
1491	1886.649315	70.715719	6.118451	0.918976	4.067164
1493	1888.734120	70.621285	6.078799	0.919841	4.162220
1497	1892.902207	70.469172	6.016898	0.920874	4.042063
1499	1894.986811	70.349092	5.958972	0.922095	3.929343
1501	1897.070894	70.280971	5.915657	0.922180	4.017019
1505	1901.239892	70.120136	5.869241	0.921441	3.989161
1507	1903.324952	69.973338	5.821189	0.922698	4.048702
1509	1905.409711	69.856723	5.795253	0.923164	3.882380
1513	1909.580047	69.679518	5.744431	0.924778	3.815036
1515	1911.665190	69.562167	5.684160	0.927180	3.844881
1517	1913.750105	69.477467	5.655124	0.928093	3.818701
1521	1917.919997	69.306209	5.587145	0.929066	3.890656
1523	1920.004425	69.228377	5.547855	0.929520	3.888390
1525	1922.089178	69.138301	5.518674	0.930011	3.685717
1529	1926.258662	68.950047	5.449163	0.930857	3.748710
